vorlage_titel_de,urnengang_datum,thema,Parent,thema_ave,thema_count,thema1,Code,thema1_ave,thema1_count,thema2,thema3,stimmbeteiligung,ja_prozent,year,ImageURL
Bundesgesetz über ein Massnahmenpaket zugunsten der Medien,2022-02-12T23:00:00Z,"Kultur, Religion, Medien",1200,42.55941099,18,Medien und Kommunikation,1200,44.14294029,1,Strukturpolitik,#N/A,44.14294029,45.4187367,2022,
Änderung des Bundesgesetzes über die Stempelabgaben (StG),2022-02-12T23:00:00Z,Öffentliche Finanzen,600,45.78524517,68,Indirekte Steuern,610,48.89713145,13,"Banken, Börsen, Versicherungen",#N/A,44.02818246,37.37179574,2022,
Volksinitiative «Ja zum Schutz der Kinder und Jugendlichen vor Tabakwerbung» (Kinder und Jugendliche ohne Tabakwerbung),2022-02-12T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Suchtmittel,1010,50.77990726,17,Kinder und Jugendliche,Wettbewerbspolitik,44.24117762,56.65355801,2022,
Volksinitiative «Ja zum Tier- und Menschenversuchsverbot – Ja zu Forschungswegen mit Impulsen für Sicherheit und Fortschritt»,2022-02-12T23:00:00Z,Bildung und Forschung,1100,39.99022374,24,Tierversuche,1140,44.4747126,4,Medizinforschung und -technik,Medikamente,44.19993059,20.85927771,2022,
"Änderung des Bundesgesetzes über die gesetzlichen Grundlagen für Verordnungen des Bundesrates zur Bewältigung der Covid-19-Epidemie (Covid-19-Gesetz) (Härtefälle, Arbeitslosenversicherung, familienergänzende Kinderbetreuung, Kulturschaffende, Veranstaltungen)",2021-11-27T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Gesundheit,1000,55.95983269,3,Grundrechte,Wirtschaftspolitik,65.73155961,62.01991362,2021,
 Volksinitiative «Bestimmung der Bundesrichterinnen und Bundesrichter im Losverfahren» (Justiz-Initiative),2021-11-27T23:00:00Z,Staatsordnung,100,48.14813263,94,Gerichte,130,47.5891708,5,Wahlsystem,#N/A,64.68059297,31.92260251,2021,
Volksinitiative «Für eine starke Pflege» (Pflegeinitiative),2021-11-27T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Gesundheitspolitik,1010,46.66984242,9,Kranken- und Unfallversicherung,Arbeitsbedingungen,65.31169753,60.98232102,2021,
Änderung des Schweizerischen Zivilgesetzbuches (Ehe für alle),2021-09-25T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Homosexuelle,1030,47.14879782,2,Familienpolitik,Grundrechte,52.60263866,64.09655413,2021,
"Volksinitiative «Löhne entlasten, Kapital gerecht besteuern»",2021-09-25T22:00:00Z,Öffentliche Finanzen,600,45.78524517,68,Öffentliche Ausgaben,600,41.28712299,7,Sozialpolitik,#N/A,52.23394178,35.12231938,2021,
Bundesgesetz über polizeiliche Massnahmen zur Bekämpfung von Terrorismus (PMT),2021-06-12T22:00:00Z,Sicherheitspolitik,300,50.57895823,49,Staatsschutz,310,54.79911082,7,Grundrechte,Polizei,59.5657038,56.58008393,2021,
Bundesgesetz über die Verminderung von Treibhausgasemissionen (CO2-Gesetz),2021-06-12T22:00:00Z,Umwelt und Lebensraum,900,43.46254535,43,Umweltpolitik,930,45.77423425,4,Erdöl – Gas,Indirekte Steuern,59.70031143,48.40737432,2021,
Bundesgesetz über die gesetzlichen Grundlagen für Verordnungen des Bundesrates zur Bewältigung der Covid-19-Epidemie (Covid-19-Gesetz),2021-06-12T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Gesundheit,1000,55.95983269,3,Grundrechte,Wirtschaftspolitik,59.65600513,60.20086604,2021,
Volksinitiative «Für eine Schweiz ohne synthetische Pestizide»,2021-06-12T22:00:00Z,Umwelt und Lebensraum,900,43.46254535,43,Gewässerschutz,930,48.00538654,6,Agrarpolitik,Bodenschutz,59.76350239,39.44382866,2021,
Volksinitiative «Für sauberes Trinkwasser und gesunde Nahrung – Keine Subventionen für den Pestizid- und den prophylaktischen Antibiotika-Einsatz»,2021-06-12T22:00:00Z,Umwelt und Lebensraum,900,43.46254535,43,Gewässerschutz,930,48.00538654,6,Agrarpolitik,Tierische Produktion,59.7753053,39.30808708,2021,
Bundesbeschluss über die Genehmigung des Umfassenden Wirtschaftspartnerschaftsabkommens zwischen den EFTA-Staaten und Indonesien,2021-03-06T23:00:00Z,Aussenpolitik,200,50.44954623,33,Aussenwirtschaftspolitik,200,48.34634639,4,Staatsverträge mit einzelnen Staaten,Umwelt,51.10337578,51.64593073,2021,
"Bundesgesetz über elektronische Identifizierungsdienste (EID-Gesetz, BGEID)",2021-03-06T23:00:00Z,Staatsordnung,100,48.14813263,94,Datenschutz,160,45.02905953,2,#N/A,#N/A,51.28749915,35.63720469,2021,
Volksinitiative «Ja zum Verhüllungsverbot»,2021-03-06T23:00:00Z,Staatsordnung,100,48.14813263,94,Grundrechte,160,39.34757861,3,Strafrecht,Religion – Kirchen,51.41515389,51.19425672,2021,
Volksinitiative «Für ein Verbot der Finanzierung von Kriegsmaterialproduzenten»,2020-11-28T23:00:00Z,Sicherheitspolitik,300,50.57895823,49,Rüstung,320,47.95003984,14,Nationalbank,Finanzwesen,46.94798962,42.54688802,2020,
Volksinitiative «Für verantwortungsvolle Unternehmen – zum Schutz von Mensch und Umwelt»,2020-11-28T23:00:00Z,Wirtschaft,400,48.27157492,76,Gesellschaftsrecht,410,46.8889166,2,Grundrechte,Umwelt,47.03690123,50.73119471,2020,
Bundesbeschluss über die Beschaffung neuer Kampfflugzeuge,2020-09-26T22:00:00Z,Sicherheitspolitik,300,50.57895823,49,Rüstung,320,47.95003984,14,Öffentliche Finanzen,#N/A,59.42527957,50.1329155,2020,
Erwerbsersatzgesetz (indirekter Gegenvorschlag zur Volksinitiative «Für einen vernünftigen Vaterschaftsurlaub - zum Nutzen der ganzen Familie»),2020-09-26T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Familienpolitik,1030,51.64752059,6,#N/A,Arbeit und Beschäftigung,59.35903205,60.34022937,2020,
Bundesgesetz über die direkte Bundessteuer (DBG) (Steuerliche Berücksichtigung der Kinderdrittbetreuungskosten),2020-09-26T22:00:00Z,Öffentliche Finanzen,600,45.78524517,68,Direkte Steuern,610,50.08035786,14,Familienpolitik,#N/A,59.20780421,36.76030389,2020,
"Bundesgesetz über die Jagd und den Schutz wildlebender Säugetiere und Vögel (Jagdgesetz, JSG)",2020-09-26T22:00:00Z,Landwirtschaft,500,46.31987628,38,Fischerei – Jagd – Haustiere,500,59.34455918,1,Tierschutz,#N/A,59.34455918,48.06792937,2020,
Volksinitiative «Für eine massvolle Zuwanderung (Begrenzungsinitiative)»,2020-09-26T22:00:00Z,Aussenpolitik,200,50.44954623,33,EU,220,49.92906491,10,Ausländerpolitik,#N/A,59.49076249,38.29494927,2020,
Strafgesetzbuch und des Militärstrafgesetz (Diskriminierung und Aufruf zu Hass aufgrund der sexuellen Orientierung),2020-02-08T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Homosexuelle,1030,47.14879782,2,Strafrecht,#N/A,41.69495698,63.09285066,2020,
Volksinitiative «Mehr bezahlbare Wohnungen»,2020-02-08T23:00:00Z,Umwelt und Lebensraum,900,43.46254535,43,Mietwesen,920,44.26261118,8,#N/A,#N/A,41.67935631,42.94605652,2020,
Bundesbeschluss über die Genehmigung und die Umsetzung des Notenaustauschs zwischen der Schweiz und der EU betreffend die Übernahme der Richtlinie (EU) 2017/853 zur Änderung der EU-Waffenrichtlinie (Weiterentwicklung des Schengen-Besitzstands),2019-05-18T22:00:00Z,Sicherheitspolitik,300,50.57895823,49,Bevölkerungsschutz,310,48.39636867,5,EU,#N/A,43.87896144,63.74286231,2019,
Bundesgesetz über die Steuerreform und die AHV-Finanzierung (STAF),2019-05-18T22:00:00Z,Öffentliche Finanzen,600,45.78524517,68,Direkte Steuern,610,50.08035786,14,Alters- und Hinterbliebenenversicherung,Wirtschaftspolitik,43.74048343,66.38285427,2019,
Volksinitiative «Zersiedelung stoppen – für eine nachhaltige Siedlungsentwicklung (Zersiedelungsinitiative)»,2019-02-09T23:00:00Z,Umwelt und Lebensraum,900,43.46254535,43,Raumplanung,910,40.42970618,5,#N/A,#N/A,37.92033396,36.33959563,2019,
Änderung des Bundesgesetzes über den Allgemeinen Teil des Sozialversicherungsrechts (ATSG) (Gesetzliche Grundlage für die Überwachung von Versicherten),2018-11-24T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Sozialversicherungen,1000,47.66572214,2,Grundrechte,#N/A,48.37655552,64.72003915,2018,
Volksinitiative «Schweizer Recht statt fremde Richter (Selbstbestimmungsinitiative)»,2018-11-24T23:00:00Z,Staatsordnung,100,48.14813263,94,Internationales Recht,160,48.4087464,1,Aussenpolitische Grundhaltung,Bundesverfassung,48.4087464,33.73392029,2018,
Volksinitiative «Für die Würde der landwirtschaftlichen Nutztiere (Hornkuh-Initiative)»,2018-11-24T23:00:00Z,Landwirtschaft,500,46.31987628,38,Agrarpolitik,500,42.87403572,11,Tierschutz,#N/A,48.30010908,45.27097457,2018,
Volksinitiative «Für Ernährungssouveränität. Die Landwirtschaft betrifft uns alle»,2018-09-22T22:00:00Z,Landwirtschaft,500,46.31987628,38,Agrarpolitik,500,42.87403572,11,Landesversorgung,#N/A,37.46913828,31.61748092,2018,
Volksinitiative «Für gesunde sowie umweltfreundlich und fair hergestellte Lebensmittel (Fair-Food-Initiative)»,2018-09-22T22:00:00Z,Landwirtschaft,500,46.31987628,38,Agrarpolitik,500,42.87403572,11,#N/A,#N/A,37.52175771,38.69950608,2018,
"Bundesbeschluss über die Velowege sowie die Fuss- und Wanderwege (direkter Gegenentwurf zur Volksinitiative «Zur Förderung der Velo-, Fuss- und Wanderwege [Velo-Initiative]»)",2018-09-22T22:00:00Z,Verkehr und Infrastruktur,800,47.82569784,55,Verkehrspolitik,800,47.46350524,9,#N/A,#N/A,37.48499062,73.59350341,2018,
Bundesgesetz über Geldspiele (Geldspielgesetz),2018-06-09T22:00:00Z,Wirtschaft,400,48.27157492,76,Strukturpolitik,410,51.12449513,13,Geldspiele,#N/A,34.51640746,72.93941199,2018,
Volksinitiative «Für krisensicheres Geld: Geldschöpfung allein durch die Nationalbank! (Vollgeld-Initiative),2018-06-09T22:00:00Z,Staatsordnung,100,48.14813263,94,Nationalbank,130,52.43345897,3,Finanzwesen,#N/A,34.55372091,24.28126923,2018,
Volksinitiative «Ja zur Abschaffung der Radio- und Fernsehgebühren (Abschaffung der Billag-Gebühren)»,2018-03-03T23:00:00Z,"Kultur, Religion, Medien",1200,42.55941099,18,"Radio, Fernsehen, elektronische Medien",1250,44.49486929,5,Medienpolitik,#N/A,54.83777863,28.43784009,2018,
Bundesbeschluss über die neue Finanzordnung 2021,2018-03-03T23:00:00Z,Öffentliche Finanzen,600,45.78524517,68,Finanzordnung,600,45.48570642,14,Steuersystem,#N/A,53.86752957,84.11071677,2018,
Bundesgesetz über die Reform der Altersvorsorge 2020,2017-09-23T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Alters- und Hinterbliebenenversicherung,1020,51.73038178,23,Berufliche Vorsorge,#N/A,47.38537895,47.31271102,2017,
Bundesbeschluss über die Zusatzfinanzierung der AHV durch eine Erhöhung der Mehrwertsteuer,2017-09-23T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Alters- und Hinterbliebenenversicherung,1020,51.73038178,23,Indirekte Steuern,#N/A,47.39448044,49.95300466,2017,
Bundesbeschluss über die Ernährungssicherheit,2017-09-23T22:00:00Z,Landwirtschaft,500,46.31987628,38,Agrarpolitik,500,42.87403572,11,#N/A,#N/A,47.1119993,78.7318499,2017,
Energiegesetz (EnG),2017-05-20T22:00:00Z,Energie,700,44.90049356,23,Energiepolitik,700,40.68013851,7,#N/A,#N/A,42.88740473,58.21572163,2017,
Bundesgesetz über steuerliche Massnahmen zur Stärkung der Wettbewerbsfähigkeit des Unternehmensstandorts Schweiz,2017-02-11T23:00:00Z,Öffentliche Finanzen,600,45.78524517,68,Direkte Steuern,610,50.08035786,14,Wirtschaftspolitik,#N/A,46.60737856,40.92335261,2017,Archiv/2017.png
Bundesbeschluss über die Schaffung eines Fonds für die Nationalstrassen und den Agglomerationsverkehr,2017-02-11T23:00:00Z,Verkehr und Infrastruktur,800,47.82569784,55,Verkehrspolitik,800,47.46350524,9,Indirekte Steuern,#N/A,46.61738944,61.94554215,2017,
Bundesbeschluss über die erleichterte Einbürgerung von Personen der dritten Ausländergeneration,2017-02-11T23:00:00Z,Staatsordnung,100,48.14813263,94,Bürgerrecht,160,45.4509234,7,Ausländerpolitik,#N/A,46.84436507,60.40864123,2017,
Volksinitiative «Für den geordneten Ausstieg aus der Atomenergie»,2016-11-26T23:00:00Z,Energie,700,44.90049356,23,Kernenergie,700,44.42780188,9,#N/A,#N/A,45.37157137,45.80357452,2016,
"Bundesgesetz über den Nachrichtendienst (Nachrichtendienstgesetz, NDG)",2016-09-24T22:00:00Z,Sicherheitspolitik,300,50.57895823,49,Staatsschutz,310,54.79911082,7,Grundrechte,#N/A,42.94371201,65.51328547,2016,
Volksinitiative «AHVplus: für eine starke AHV»,2016-09-24T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Alters- und Hinterbliebenenversicherung,1020,51.73038178,23,#N/A,#N/A,43.13028845,40.59981308,2016,
Volksinitiative «Für eine nachhaltige und ressourceneffiziente Wirtschaft (Grüne Wirtschaft)»,2016-09-24T22:00:00Z,Umwelt und Lebensraum,900,43.46254535,43,Umweltpolitik,930,45.77423425,4,#N/A,#N/A,42.99852341,36.43352594,2016,
Änderung des Asylgesetzes (AsylG),2016-06-04T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Flüchtlinge,1030,45.42428137,8,#N/A,#N/A,46.7889651,66.78268076,2016,
"Bundesgesetz über die medizinisch unterstützte Fortpflanzung (Fortpflanzungsmedizingesetz, FMedG)",2016-06-04T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Fortpflanzungsmedizin,1010,42.89311054,4,Gentechnologie,#N/A,46.68193154,62.419699,2016,
Volksinitiative «Für eine faire Verkehrsfinanzierung»,2016-06-04T22:00:00Z,Verkehr und Infrastruktur,800,47.82569784,55,Verkehrspolitik,800,47.46350524,9,Öffentliche Finanzen,#N/A,46.77676926,29.22142626,2016,
Volksinitiative «Für ein bedingungsloses Grundeinkommen»,2016-06-04T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Sozialversicherungen,1000,47.66572214,2,Arbeit und Beschäftigung,#N/A,46.95488875,23.05825833,2016,
Volksinitiative «Pro Service public»,2016-06-04T22:00:00Z,Verkehr und Infrastruktur,800,47.82569784,55,Post,800,50.98832396,3,Schienenverkehr,Telekommunikation,46.76967384,32.38231882,2016,
Bundesgesetz über den Strassentransitverkehr im Alpengebiet (Sanierung Gotthard-Strassentunnel),2016-02-27T23:00:00Z,Verkehr und Infrastruktur,800,47.82569784,55,Strassenbau,820,43.86182807,8,#N/A,#N/A,63.46687918,57.01322751,2016,
Volksinitiative «Keine Spekulation mit Nahrungsmitteln!»,2016-02-27T23:00:00Z,Wirtschaft,400,48.27157492,76,"Banken, Börsen, Versicherungen",430,52.71611332,2,#N/A,#N/A,62.91265131,40.07146851,2016,
Volksinitiative «Zur Durchsetzung der Ausschaffung krimineller Ausländer (Durchsetzungsinitiative)»,2016-02-27T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Ausländerpolitik,1030,51.12846747,20,Strafrecht,#N/A,63.73086815,41.14518488,2016,
Volksinitiative «Für Ehe und Familie - gegen die Heiratsstrafe»,2016-02-27T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Familienpolitik,1030,51.64752059,6,Steuerwesen,#N/A,63.24909158,49.15878897,2016,
Bundesgesetz über Radio und Fernsehen,2015-06-13T22:00:00Z,"Kultur, Religion, Medien",1200,42.55941099,18,"Radio, Fernsehen, elektronische Medien",1250,44.49486929,5,#N/A,#N/A,43.64502613,50.08096672,2015,
Volksinitiative «Millionen-Erbschaften besteuern für unsere AHV (Erbschaftssteuerreform)»,2015-06-13T22:00:00Z,Öffentliche Finanzen,600,45.78524517,68,Direkte Steuern,610,50.08035786,14,Alters- und Hinterbliebenenversicherung,#N/A,43.70878536,28.95683794,2015,
Volksinitiative «Stipendieninitiative»,2015-06-13T22:00:00Z,Bildung und Forschung,1100,39.99022374,24,Hochschulen,1100,40.48378088,5,#N/A,#N/A,43.44734783,27.46311642,2015,
Bundesbeschluss über die Änderung der Verfassungsbestimmung zur Fortpflanzungsmedizin und Gentechnologie im Humanbereich,2015-06-13T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Fortpflanzungsmedizin,1010,42.89311054,4,Gentechnologie,#N/A,43.51264549,61.92972014,2015,
Volksinitiative «Energie- statt Mehrwertsteuer»,2015-03-07T23:00:00Z,Öffentliche Finanzen,600,45.78524517,68,Indirekte Steuern,610,48.89713145,13,Energiepolitik,#N/A,42.05776822,8.025003992,2015,
Volksinitiative «Familien stärken! Steuerfreie Kinder- und Ausbildungszulagen»,2015-03-07T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Familienpolitik,1030,51.64752059,6,Direkte Steuern,#N/A,42.07242103,24.58037464,2015,
Volksinitiative «Rettet unser Schweizer Gold (Gold-Initiative)»,2014-11-29T23:00:00Z,Wirtschaft,400,48.27157492,76,Geld- und Währungspolitik,430,44.43197927,9,Institutionen,#N/A,49.81217766,22.72423194,2014,
Volksinitiative «Stopp der Überbevölkerung - zur Sicherung der natürlichen Lebensgrundlagen»,2014-11-29T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Ausländerpolitik,1030,51.12846747,20,Europapolitik,#N/A,49.97987618,25.89563092,2014,
Volksinitiative «Schluss mit den Steuerprivilegien für Millionäre (Abschaffung der Pauschalbesteuerung)»,2014-11-29T23:00:00Z,Öffentliche Finanzen,600,45.78524517,68,Steuersystem,610,49.9430591,3,Direkte Steuern,#N/A,49.90494543,40.79920534,2014,
Volksinitiative «Für eine öffentliche Krankenkasse»,2014-09-27T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Kranken- und Unfallversicherung,1020,46.77694105,17,#N/A,#N/A,47.17999578,38.15925086,2014,
Volksinitiative «Schluss mit der MwSt-Diskriminierung des Gastgewerbes!»,2014-09-27T22:00:00Z,Öffentliche Finanzen,600,45.78524517,68,Indirekte Steuern,610,48.89713145,13,Hotellerie und Gastgewerbe,#N/A,46.96080291,28.48322578,2014,
Bundesgesetz über den Fonds zur Beschaffung des Kampfflugzeugs Gripen,2014-05-17T22:00:00Z,Sicherheitspolitik,300,50.57895823,49,Rüstung,320,47.95003984,14,Öffentliche Finanzen,#N/A,56.32331651,46.58930437,2014,
Volksinitiative «Für den Schutz fairer Löhne (Mindestlohn-Initiative)»,2014-05-17T22:00:00Z,Wirtschaft,400,48.27157492,76,Arbeitsbedingungen,420,46.03557686,5,#N/A,#N/A,56.3573847,23.72764784,2014,
Volksinitiative «Pädophile sollen nicht mehr mit Kindern arbeiten dürfen»,2014-05-17T22:00:00Z,Staatsordnung,100,48.14813263,94,Strafrecht,160,48.45272312,13,Kinder und Jugendliche,#N/A,56.17247045,63.52960315,2014,
Bundesbeschluss über die medizinische Grundversorgung (direkter Gegenentwurf zur zurückgezogenen Volksinitiative «Ja zur Hausarztmedizin»),2014-05-17T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Gesundheitspolitik,1010,46.66984242,9,Kranken- und Unfallversicherung,#N/A,55.84182325,88.06573932,2014,
Volksinitiative «Gegen Masseneinwanderung»,2014-02-08T23:00:00Z,Aussenpolitik,200,50.44954623,33,Europapolitik,200,56.56823585,1,Ausländerpolitik,#N/A,56.56823585,50.33183125,2014,
Volksinitiative «Abtreibungsfinanzierung ist Privatsache - Entlastung der Krankenversicherung durch Streichung der Kosten des Schwangerschaftsabbruchs aus der obligatorischen Grundversicherung»,2014-02-08T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Kranken- und Unfallversicherung,1020,46.77694105,17,Strafrecht,Stellung der Frau,56.41494558,30.18244083,2014,
Bundesbeschluss über die Finanzierung und den Ausbau der Eisenbahninfrastruktur (direkter Gegenentwurf zur zurückgezogenen Volksinitiative «Für den öffentlichen Verkehr»),2014-02-08T23:00:00Z,Verkehr und Infrastruktur,800,47.82569784,55,Schienenverkehr,800,60.33627349,4,Indirekte Steuern,#N/A,56.23477339,62.01900558,2014,
Bundesgesetz über die Abgabe für die Benützung von Nationalstrassen,2013-11-23T23:00:00Z,Verkehr und Infrastruktur,800,47.82569784,55,Strassenverkehr,800,48.53296085,14,Indirekte Steuern,#N/A,53.61294696,39.53898672,2013,
"Volksinitiative «Familieninitiative: Steuerabzüge auch für Eltern, die ihre Kinder selber betreuen»",2013-11-23T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Familienpolitik,1030,51.64752059,6,Direkte Steuern,#N/A,53.58746687,41.53072651,2013,
Volksinitiative «1:12 - Für gerechte Löhne»,2013-11-23T23:00:00Z,Wirtschaft,400,48.27157492,76,Arbeit und Beschäftigung,400,53.63275841,1,#N/A,#N/A,53.63275841,34.69786319,2013,
Arbeitsgesetz (Liberalisierung der Öffnungszeiten von Tankstellenshops),2013-09-21T22:00:00Z,Wirtschaft,400,48.27157492,76,Arbeitsbedingungen,420,46.03557686,5,#N/A,#N/A,46.67802815,55.79224578,2013,
Bundesgesetz über die Bekämpfung übertragbarer Krankheiten des Menschen (Epidemiengesetz),2013-09-21T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Gesundheitspolitik,1010,46.66984242,9,#N/A,#N/A,46.66936653,60.00271904,2013,
Volksinitiative «Ja zur Aufhebung der Wehrpflicht»,2013-09-21T22:00:00Z,Sicherheitspolitik,300,50.57895823,49,Militärorganisation,320,59.74530515,4,#N/A,#N/A,46.89039182,26.78736072,2013,
Asylgesetz (AsylG) (Dringliche Änderungen des Asylgesetzes),2013-06-08T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Flüchtlinge,1030,45.42428137,8,#N/A,#N/A,39.42824671,78.4471327,2013,
Volksinitiative «Volkswahl des Bundesrates»,2013-06-08T22:00:00Z,Staatsordnung,100,48.14813263,94,"Regierung, Verwaltung",130,54.26276138,13,Wahlsystem,Volksrechte,39.51643548,23.65533196,2013,
Bundesgesetz über die Raumplanung,2013-03-02T23:00:00Z,Umwelt und Lebensraum,900,43.46254535,43,Raumplanung,910,40.42970618,5,Natur- und Heimatschutz,#N/A,46.50831185,62.88991576,2013,
Volksinitiative «gegen die Abzockerei»,2013-03-02T23:00:00Z,Wirtschaft,400,48.27157492,76,Gesellschaftsrecht,410,46.8889166,2,Arbeit und Beschäftigung,#N/A,46.74093196,67.9594594,2013,
Bundesbeschluss über die Familienpolitik,2013-03-02T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Familienpolitik,1030,51.64752059,6,#N/A,#N/A,46.61088267,54.34754635,2013,
Änderung des Tierseuchengesetzes (TSG),2012-11-24T23:00:00Z,Landwirtschaft,500,46.31987628,38,Tierische Produktion,500,44.05493124,9,#N/A,#N/A,27.59507356,68.28442438,2012,
Volksinitiative «Schutz vor Passivrauchen»,2012-09-22T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Suchtmittel,1010,50.77990726,17,Hotellerie und Gastgewerbe,#N/A,42.81498609,34.01286717,2012,
Volksinitiative «Sicheres Wohnen im Alter»,2012-09-22T22:00:00Z,Umwelt und Lebensraum,900,43.46254535,43,Wohnungsbau – Wohneigentum,920,41.20423223,7,Steuersystem,Seniorinnen und Senioren,42.53074076,47.39475516,2012,
Bundesbeschluss über die Jugendmusikförderung,2012-09-22T22:00:00Z,Bildung und Forschung,1100,39.99022374,24,Schulen,1100,39.28786867,6,Kulturpolitik,Kinder und Jugendliche,42.41506989,72.68591976,2012,
Änderung des Bundesgesetzes über die Krankenversicherung (Managed Care),2012-06-16T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Kranken- und Unfallversicherung,1020,46.77694105,17,#N/A,#N/A,38.64922152,23.94742525,2012,
Volksinitiative «Für die Stärkung der Volksrechte in der Aussenpolitik (Staatsverträge vors Volk!)»,2012-06-16T22:00:00Z,Aussenpolitik,200,50.44954623,33,Aussenpolitische Grundhaltung,200,38.52245132,1,Referendum,#N/A,38.52245132,24.71510661,2012,
Volksinitiative «Eigene vier Wände dank Bausparen»,2012-06-16T22:00:00Z,Umwelt und Lebensraum,900,43.46254535,43,Wohnungsbau – Wohneigentum,920,41.20423223,7,Steuersystem,Direkte Steuern,38.52893742,31.09407699,2012,
Bundesgesetz über die Buchpreisbindung,2012-03-10T23:00:00Z,"Kultur, Religion, Medien",1200,42.55941099,18,Kulturpolitik,1200,40.55568839,6,Preispolitik,#N/A,44.85723743,43.92079442,2012,
